team_id,conference_id,groups_name
356,7,Big Ten Conference
5,62,American Athletic Conference
2,23,Southeastern Conference
2670,3,Atlantic 10 Conference
43,12,Ivy League
2253,30,Western Athletic Conference
2755,26,Southwestern Athletic Conference
302,9,Big West Conference
38,21,Pac-12 Conference
153,2,Atlantic Coast Conference
98,11,Conference USA
2217,13,Metro Atlantic Athletic Conference
2006,14,Mid-American Conference
41,4,Big East Conference
248,8,Big 12 Conference
21,44,Mountain West Conference
2226,62,American Athletic Conference
57,23,Southeastern Conference
2184,3,Atlantic 10 Conference
58,62,American Athletic Conference
2509,7,Big Ten Conference
47,16,Mid-Eastern Athletic Conference
261,1,America East Conference
163,12,Ivy League
167,44,Mountain West Conference
2627,30,Western Athletic Conference
265,21,Pac-12 Conference
2429,62,American Athletic Conference
328,44,Mountain West Conference
66,8,Big 12 Conference
333,23,Southeastern Conference
2640,26,Southwestern Athletic Conference
258,2,Atlantic Coast Conference
158,7,Big Ten Conference
300,9,Big West Conference
269,4,Big East Conference
12,21,Pac-12 Conference
2428,16,Mid-Eastern Athletic Conference
96,23,Southeastern Conference
2514,13,Metro Atlantic Athletic Conference
2450,16,Mid-Eastern Athletic Conference
189,14,Mid-American Conference
77,7,Big Ten Conference
2633,23,Southeastern Conference
2534,11,Conference USA
68,44,Mountain West Conference
299,9,Big West Conference
250,30,Western Athletic Conference
239,8,Big 12 Conference
2582,26,Southwestern Athletic Conference
2440,44,Mountain West Conference
84,7,Big Ten Conference
2520,13,Metro Atlantic Athletic Conference
62,9,Big West Conference
2547,30,Western Athletic Conference
2567,62,American Athletic Conference
2569,16,Mid-Eastern Athletic Conference
2168,3,Atlantic 10 Conference
156,4,Big East Conference
150,2,Atlantic Coast Conference
249,62,American Athletic Conference
245,23,Southeastern Conference
195,14,Mid-American Conference
2294,7,Big Ten Conference
2368,13,Metro Atlantic Athletic Conference
2335,11,Conference USA
2439,44,Mountain West Conference
2483,21,Pac-12 Conference
2350,3,Atlantic 10 Conference
2579,23,Southeastern Conference
275,7,Big Ten Conference
2550,4,Big East Conference
235,62,American Athletic Conference
221,2,Atlantic Coast Conference
113,3,Atlantic 10 Conference
2117,14,Mid-American Conference
99,23,Southeastern Conference
2641,8,Big 12 Conference
151,62,American Athletic Conference
127,7,Big Ten Conference
257,3,Atlantic 10 Conference
2649,14,Mid-American Conference
149,5,Big Sky Conference
2540,9,Big West Conference
2617,30,Western Athletic Conference
254,21,Pac-12 Conference
2305,8,Big 12 Conference
61,23,Southeastern Conference
228,2,Atlantic Coast Conference
222,4,Big East Conference
27,9,Big West Conference
3084,30,Western Athletic Conference
2348,11,Conference USA
25,21,Pac-12 Conference
213,7,Big Ten Conference
2142,22,Patriot League
8,23,Southeastern Conference
251,8,Big 12 Conference
183,2,Atlantic Coast Conference
2507,4,Big East Conference
120,7,Big Ten Conference
26,21,Pac-12 Conference
2377,25,Southland Conference
179,3,Atlantic 10 Conference
36,44,Mountain West Conference
2086,4,Big East Conference
218,62,American Athletic Conference
2628,8,Big 12 Conference
2016,26,Southwestern Athletic Conference
264,21,Pac-12 Conference
154,2,Atlantic Coast Conference
2751,44,Mountain West Conference
2724,62,American Athletic Conference
252,8,Big 12 Conference
259,2,Atlantic Coast Conference
2244,3,Atlantic 10 Conference
315,13,Metro Atlantic Athletic Conference
2571,49,Summit League
2608,29,West Coast Conference
357,25,Southland Conference
55,11,Conference USA
314,13,Metro Atlantic Athletic Conference
147,5,Big Sky Conference
103,2,Atlantic Coast Conference
232,10,Coastal Athletic Association
2473,45,Horizon League
2771,19,Northeast Conference
2349,1,America East Conference
116,13,Metro Atlantic Athletic Conference
227,3,Atlantic 10 Conference
152,2,Atlantic Coast Conference
2132,8,Big 12 Conference
2325,3,Atlantic 10 Conference
87,2,Atlantic Coast Conference
2116,8,Big 12 Conference
2230,3,Atlantic 10 Conference
2250,29,West Coast Conference
94,45,Horizon League
2437,49,Summit League
2275,10,Coastal Athletic Association
2447,25,Southland Conference
2692,5,Big Sky Conference
256,27,Sun Belt Conference
2535,24,Southern Conference
2320,25,Southland Conference
2458,5,Big Sky Conference
155,49,Summit League
2466,25,Southland Conference
331,5,Big Sky Conference
2900,49,Summit League
236,24,Southern Conference
2182,10,Coastal Athletic Association
2545,25,Southland Conference
2026,27,Sun Belt Conference
104,22,Patriot League
2636,62,American Athletic Conference
350,10,Coastal Athletic Association
282,18,Missouri Valley Conference
56,46,ASUN Conference
164,7,Big Ten Conference
2427,6,Big South Conference
130,7,Big Ten Conference
2539,29,West Coast Conference
30,21,Pac-12 Conference
2541,29,West Coast Conference
2464,5,Big Sky Conference
140,49,Summit League
2239,9,Big West Conference
48,10,Coastal Athletic Association
2717,24,Southern Conference
2031,20,Ohio Valley Conference
242,62,American Athletic Conference
2856,30,Western Athletic Conference
70,5,Big Sky Conference
292,30,Western Athletic Conference
278,44,Mountain West Conference
28,9,Big West Conference
2619,10,Coastal Athletic Association
2181,18,Missouri Valley Conference
2653,27,Sun Belt Conference
219,12,Ivy League
97,2,Atlantic Coast Conference
2752,4,Big East Conference
204,21,Pac-12 Conference
2011,26,Southwestern Athletic Conference
2010,26,Southwestern Athletic Conference
238,23,Southeastern Conference
52,2,Atlantic Coast Conference
2005,44,Mountain West Conference
2363,13,Metro Atlantic Athletic Conference
50,26,Southwestern Athletic Conference
2000,30,Western Athletic Conference
166,11,Conference USA
2296,26,Southwestern Athletic Conference
202,62,American Athletic Conference
160,1,America East Conference
2032,27,Sun Belt Conference
344,23,Southeastern Conference
119,10,Coastal Athletic Association
2430,24,Southern Conference
2306,8,Big 12 Conference
2115,19,Northeast Conference
2803,1,America East Conference
145,23,Southeastern Conference
2612,13,Metro Atlantic Athletic Conference
171,12,Ivy League
2603,3,Atlantic 10 Conference
2405,10,Coastal Athletic Association
2272,6,Big South Conference
2599,4,Big East Conference
2501,29,West Coast Conference
2630,20,Ohio Valley Conference
71,18,Missouri Valley Conference
301,29,West Coast Conference
2655,62,American Athletic Conference
2241,6,Big South Conference
198,49,Summit League
2193,24,Southern Conference
193,14,Mid-American Conference
2084,14,Mid-American Conference
2711,14,Mid-American Conference
2382,24,Southern Conference
2210,10,Coastal Athletic Association
2460,18,Missouri Valley Conference
2737,6,Big South Conference
2448,10,Coastal Athletic Association
24,21,Pac-12 Conference
2413,20,Ohio Valley Conference
79,18,Missouri Valley Conference
2739,45,Horizon League
2638,11,Conference USA
2247,27,Sun Belt Conference
2750,45,Horizon League
2046,46,ASUN Conference
2379,16,Mid-Eastern Athletic Conference
2710,20,Ohio Valley Conference
2415,16,Mid-Eastern Athletic Conference
322,22,Patriot League
44,22,Patriot League
2754,45,Horizon League
2287,18,Missouri Valley Conference
2561,13,Metro Atlantic Athletic Conference
2572,27,Sun Belt Conference
2492,29,West Coast Conference
2057,18,Missouri Valley Conference
309,27,Sun Belt Conference
93,18,Missouri Valley Conference
6,27,Sun Belt Conference
2565,20,Ohio Valley Conference
23,44,Mountain West Conference
135,7,Big Ten Conference
2908,6,Big South Conference
2837,25,Southland Conference
2443,25,Southland Conference
2634,20,Ohio Valley Conference
2529,19,Northeast Conference
2330,19,Northeast Conference
2390,2,Atlantic Coast Conference
277,8,Big 12 Conference
2166,3,Atlantic 10 Conference
45,3,Atlantic 10 Conference
142,23,Southeastern Conference
139,3,Atlantic 10 Conference
305,4,Big East Conference
326,27,Sun Belt Conference
270,45,Horizon League
288,46,ASUN Conference
197,8,Big 12 Conference
201,8,Big 12 Conference
2459,14,Mid-American Conference
2426,22,Patriot League
325,45,Horizon League
2870,45,Horizon League
2198,46,ASUN Conference
46,4,Big East Conference
2050,14,Mid-American Conference
159,12,Ivy League
2378,1,America East Conference
2393,11,Conference USA
349,22,Patriot League
2433,27,Sun Belt Conference
311,1,America East Conference
2502,5,Big Sky Conference
16,5,Big Sky Conference
2504,26,Southwestern Athletic Conference
2154,16,Mid-Eastern Athletic Conference
2916,25,Southland Conference
338,46,ASUN Conference
526,46,ASUN Conference
194,7,Big Ten Conference
2674,18,Missouri Valley Conference
2623,18,Missouri Valley Conference
2099,13,Metro Atlantic Athletic Conference
13,9,Big West Conference
88,20,Ohio Valley Conference
3101,30,Western Athletic Conference
253,30,Western Athletic Conference
2463,9,Big West Conference
304,5,Big Sky Conference
2083,22,Patriot League
2029,26,Southwestern Athletic Conference
225,12,Ivy League
2229,11,Conference USA
2352,22,Patriot League
2344,6,Big South Conference
2681,19,Northeast Conference
2277,25,Southland Conference
2097,10,Coastal Athletic Association
2169,16,Mid-Eastern Athletic Conference
2598,19,Northeast Conference
399,1,America East Conference
2309,14,Mid-American Conference
2515,6,Big South Conference
2506,6,Big South Conference
2729,10,Coastal Athletic Association
231,24,Southern Conference
2066,1,America East Conference
2449,49,Summit League
2199,14,Mid-American Conference
2678,24,Southern Conference
59,2,Atlantic Coast Conference
2329,22,Patriot League
324,27,Sun Belt Conference
2110,46,ASUN Conference
294,46,ASUN Conference
290,27,Sun Belt Conference
2454,46,ASUN Conference
2511,46,ASUN Conference
2351,29,West Coast Conference
2934,9,Big West Conference
2172,49,Summit League
233,49,Summit League
2261,10,Coastal Athletic Association
161,19,Northeast Conference
284,19,Northeast Conference
2885,1,America East Conference
9,21,Pac-12 Conference
82,18,Missouri Valley Conference
339,18,Missouri Valley Conference
2127,6,Big South Conference
107,22,Patriot League
2643,24,Southern Conference
2747,24,Southern Conference
2523,45,Horizon League
85,45,Horizon League
2197,20,Ohio Valley Conference
2400,26,Southwestern Athletic Conference
2065,26,Southwestern Athletic Conference
279,29,West Coast Conference
108,12,Ivy League
295,27,Sun Belt Conference
276,27,Sun Belt Conference
172,12,Ivy League
2546,20,Ohio Valley Conference
2815,20,Ohio Valley Conference
2635,20,Ohio Valley Conference
91,46,ASUN Conference
111,10,Coastal Athletic Association
112358,19,Northeast Conference
2174,45,Horizon League
2453,46,ASUN Conference
